"Refs","Value","Footprint","Qty","DNP"
"C1","10nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C2","10nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C3","10nF","Capacitor_SMD:C_0805_2012Metric","1",""
"C4","10nF","Capacitor_SMD:C_0805_2012Metric","1",""
"J1","EC11-L-5P","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","1",""
"J2","EC11-R-5P","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","1",""
"J3","BTN-2P","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J4","NFC-8P","Connector_JST:JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical","1",""
"J5","USB-DONGLE-4P","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1",""
"R1","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R2","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R3","10k","Resistor_SMD:R_0805_2012Metric","1",""
"R4","10k","Resistor_SMD:R_0805_2012Metric","1",""
"U1A1","DevKitC-Left-Socket","Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical","1",""
"U1B1","DevKitC-Right-Socket","Connector_PinSocket_2.54mm:PinSocket_1x22_P2.54mm_Vertical","1",""
